Modelo,MAE,MSE,RMSE,R2,fecha_hora
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_104057
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_104136
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_111816
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_111840
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_112806
LightGBM,0.09340458516028441,0.021112539555211456,0.14530154698148073,0.8868633636483911,20260406_112806
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_112833
LightGBM,0.09340458516028441,0.021112539555211456,0.14530154698148073,0.8868633636483911,20260406_112833
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_113626
LightGBM,0.09340458516028441,0.021112539555211456,0.14530154698148073,0.8868633636483911,20260406_113626
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260406_113901
LightGBM,0.09340458516028441,0.021112539555211456,0.14530154698148073,0.8868633636483911,20260406_113901
LightGBM,0.09255660713901565,0.02004900367863269,0.14159450440830212,0.8925625772082151,20260406_113901
Random Forest,0.09716423662982576,0.020765465251405615,0.14410227358166705,0.8887232450328159,20260411_094624
LightGBM,0.09255660713901565,0.02004900367863269,0.14159450440830212,0.8925625772082151,20260411_094624
Random Forest,0.10712446260249141,0.02650631404674232,0.16280759824634206,0.8579595218526144,20260411_102225
LightGBM,0.08859552717489481,0.019541700239442426,0.13979163150719154,0.8952810850679398,20260411_102225
Random Forest,0.10712446260249141,0.02650631404674232,0.16280759824634206,0.8579595218526144,20260411_105235
LightGBM,0.08859552717489481,0.019541700239442426,0.13979163150719154,0.8952810850679398,20260411_105235
Random Forest,0.10712446260249141,0.02650631404674232,0.16280759824634206,0.8579595218526144,20260411_105559
LightGBM,0.08859552717489481,0.019541700239442426,0.13979163150719154,0.8952810850679398,20260411_105559
